arch,n_layers,hidden_dim,n_heads,seed,graph_size,win_rate,mean_episode_length,mean_entropy,n_params
gat,2,64,2,1,large,0.010000000149011612,4.14,0.0,546820
gat,2,64,2,1,small,0.010000000149011612,2.7,0.0,536580
gat,2,64,2,2,large,0.020000000298023225,11.2,0.0,546820
gat,2,64,2,2,small,0.030000000447034835,7.84,0.0,536580
gat,2,64,2,3,large,0.05000000074505806,12.88,0.0,546820
gat,2,64,2,3,small,0.030000000447034835,8.2,0.0,536580
gat,2,64,2,4,large,0.020000000298023225,24.72,0.0,546820
gat,2,64,2,4,small,0.04000000059604645,6.98,0.0,536580
gat,2,64,2,5,large,0.0,4.74,0.0,546820
gat,2,64,2,5,small,0.04000000059604645,3.94,0.0,536580
gat,3,128,4,1,large,0.030000000447034835,26.16,0.0,546820
gat,3,128,4,1,small,0.030000000447034835,8.66,0.0,536580
gat,3,128,4,2,large,0.010000000149011612,5.78,0.0,546820
gat,3,128,4,2,small,0.04000000059604645,14.04,0.0,536580
gat,3,128,4,3,large,0.0,3.78,0.0,546820
gat,3,128,4,3,small,0.07000000178813934,15.5,0.0,536580
gat,3,128,4,4,large,0.0,5.44,0.0,546820
gat,3,128,4,4,small,0.04000000059604645,7.82,0.0,536580
gat,3,128,4,5,large,0.010000000149011612,6.16,0.0,546820
gat,3,128,4,5,small,0.030000001192092896,11.76,0.0,536580
gat,5,256,8,1,large,0.020000000298023225,11.02,0.0,546820
gat,5,256,8,1,small,0.030000000447034835,3.88,0.0,536580
gat,5,256,8,2,large,0.010000000149011612,9.68,0.0,546820
gat,5,256,8,2,small,0.05000000074505806,13.14,0.0,536580
gat,5,256,8,3,large,0.010000000149011612,9.7,0.0,546820
gat,5,256,8,3,small,0.030000000447034835,8.74,0.0,536580
gat,5,256,8,4,large,0.0,5.12,0.0,546820
gat,5,256,8,4,small,0.04000000059604645,4.06,0.0,536580
gat,5,256,8,5,large,0.0,7.06,0.0,546820
gat,5,256,8,5,small,0.04000000059604645,2.98,0.0,536580
gnn,2,64,1,1,large,0.0,4.12,0.0,1208
gnn,2,64,1,1,small,0.05000000074505806,29.34,0.0,218
gnn,2,64,1,2,large,0.0,4.74,0.0,1208
gnn,2,64,1,2,small,0.10000000298023223,17.3,0.0,218
gnn,2,64,1,3,large,0.010000000149011612,11.04,0.0,1208
gnn,2,64,1,3,small,0.05000000149011612,8.72,0.0,218
gnn,2,64,1,4,large,0.0,5.5,0.0,1208
gnn,2,64,1,4,small,0.030000000447034835,7.94,0.0,218
gnn,2,64,1,5,large,0.030000001192092896,6.04,0.0,1208
gnn,2,64,1,5,small,0.010000000149011612,9.42,0.0,218
gnn,3,128,1,1,large,0.020000000298023225,10.04,0.0,1208
gnn,3,128,1,1,small,0.06000000089406967,12.82,0.0,218
gnn,3,128,1,2,large,0.010000000149011612,12.1,0.0,1208
gnn,3,128,1,2,small,0.030000000447034835,5.72,0.0,218
gnn,3,128,1,3,large,0.0,10.32,0.0,1208
gnn,3,128,1,3,small,0.07000000178813934,31.06,0.0,218
gnn,3,128,1,4,large,0.020000000298023225,15.46,0.0,1208
gnn,3,128,1,4,small,0.04000000059604645,9.76,0.0,218
gnn,3,128,1,5,large,0.030000000447034835,21.44,0.0,1208
gnn,3,128,1,5,small,0.0900000013411045,15.34,0.0,218
gnn,5,256,1,1,large,0.020000000298023225,16.74,0.0,1208
gnn,5,256,1,1,small,0.030000000447034835,3.62,0.0,218
gnn,5,256,1,2,large,0.060000001639127734,24.12,0.0,1208
gnn,5,256,1,2,small,0.10000000223517418,41.74,0.0,218
gnn,5,256,1,3,large,0.0,5.14,0.0,1208
gnn,5,256,1,3,small,0.05000000149011612,13.4,0.0,218
gnn,5,256,1,4,large,0.010000000149011612,10.8,0.0,1208
gnn,5,256,1,4,small,0.04000000059604645,10.02,0.0,218
gnn,5,256,1,5,large,0.020000000298023225,21.82,0.0,1208
gnn,5,256,1,5,small,0.06000000089406967,10.18,0.0,218
transformer,2,64,2,1,large,0.030000000447034835,19.3,0.0,201732
transformer,2,64,2,1,small,0.05000000074505806,4.22,0.0,200452
transformer,2,64,2,2,large,0.0,5.58,0.0,201732
transformer,2,64,2,2,small,0.030000000447034835,11.24,0.0,200452
transformer,2,64,2,3,large,0.020000000298023225,20.54,0.0,201732
transformer,2,64,2,3,small,0.05000000074505806,14.08,0.0,200452
transformer,2,64,2,4,large,0.010000000149011612,17.92,0.0,201732
transformer,2,64,2,4,small,0.06000000089406967,23.62,0.0,200452
transformer,2,64,2,5,large,0.04000000059604645,31.6,0.0,201732
transformer,2,64,2,5,small,0.020000000298023225,3.96,0.0,200452
transformer,3,128,4,1,large,0.030000000447034835,23.72,0.0,201732
transformer,3,128,4,1,small,0.05000000074505806,3.98,0.0,200452
transformer,3,128,4,2,large,0.0,5.68,0.0,201732
transformer,3,128,4,2,small,0.07000000104308128,8.34,0.0,200452
transformer,3,128,4,3,large,0.020000000298023225,32.3,0.0,201732
transformer,3,128,4,3,small,0.030000000447034835,14.4,0.0,200452
transformer,3,128,4,4,large,0.04000000059604645,26.98,0.0,201732
transformer,3,128,4,4,small,0.020000000298023225,5.12,0.0,200452
transformer,3,128,4,5,large,0.04000000059604645,24.92,0.0,201732
transformer,3,128,4,5,small,0.040000001341104506,19.88,0.0,200452
transformer,5,256,8,1,large,0.030000001192092896,24.42,0.0,201732
transformer,5,256,8,1,small,0.05000000074505806,32.22,0.0,200452
transformer,5,256,8,2,large,0.010000000149011612,4.44,0.0,201732
transformer,5,256,8,2,small,0.020000000298023225,8.76,0.0,200452
transformer,5,256,8,3,large,0.07000000104308128,25.32,0.0,201732
transformer,5,256,8,3,small,0.030000000447034835,8.74,0.0,200452
transformer,5,256,8,4,large,0.020000000298023225,11.34,0.0,201732
transformer,5,256,8,4,small,0.04000000059604645,4.2,0.0,200452
transformer,5,256,8,5,large,0.05000000149011612,12.74,0.0,201732
transformer,5,256,8,5,small,0.05000000074505806,11.92,0.0,200452
